Player,No,Position,Ht,GP,Mins,Mpg,3PM,3PA,3P%,FGM,FGA,FG%,FTM,FTA,FT%,OREB,DREB,REB,RPG,PF,A,To,Bl,St,Pts,PPG,team,APG,SPG,BPG,ToPG
* Team Totals,NA,NA,NA,23,4614,200.6,123,447,27.5,619,1559,39.7,327,468,69.9,263,684,947,41.2,392,326,361,63,145,1688,73.4,Acadia,14.2,6.3,2.7,15.7
Ashley Davis,1,Guard,5-6,9,31,3.4,1,3,33.3,4,8,50,0,0,0,1,1,2,0.2,1,1,1,0,1,9,1,Acadia,0.1,0.1,0,0.1
Bianca Helmig,6,Guard,5-6,23,785,34.1,14,63,22.2,81,248,32.7,33,38,86.8,10,86,96,4.2,37,96,69,2,25,209,9.1,Acadia,4.2,1.1,0.1,3
Elizabeth Iseyemi,8,Wing,6-0,23,751,32.7,15,52,28.8,180,363,49.6,100,152,65.8,66,171,237,10.3,63,63,62,13,44,475,20.7,Acadia,2.7,1.9,0.6,2.7
Iris Leuschner,4,Guard,5-4,13,70,5.4,3,14,21.4,6,24,25,5,9,55.6,1,7,8,0.6,4,2,4,0,2,20,1.5,Acadia,0.2,0.2,0,0.3
Jewel Woolfitt,3,Guard,5-7,20,210,10.5,0,0,0,4,20,20,8,12,66.7,14,27,41,2,17,6,10,0,4,16,0.8,Acadia,0.3,0.2,0,0.5
Julia Sylvester,15,Wing,6-1,13,301,23.2,2,14,14.3,42,103,40.8,25,30,83.3,24,45,69,5.3,29,10,22,10,9,111,8.5,Acadia,0.8,0.7,0.8,1.7
Lisa Bolander,14,Wing,5-8,21,513,24.4,43,121,35.5,71,210,33.8,24,28,85.7,15,48,63,3,30,26,37,1,5,209,10,Acadia,1.2,0.2,0,1.8
Madyson Eisnor,12,Guard,5-4,9,41,4.6,2,3,66.7,3,6,50,0,2,0,0,1,1,0.1,4,2,3,0,0,8,0.9,Acadia,0.2,0,0,0.3
Rio Yamazaki,9,Guard,5-3,23,291,12.7,13,45,28.9,43,113,38.1,16,26,61.5,16,28,44,1.9,39,34,28,2,16,115,5,Acadia,1.5,0.7,0.1,1.2
Ryan George,5,Wing,6-1,23,398,17.3,3,15,20,27,56,48.2,7,15,46.7,26,58,84,3.7,40,18,17,9,6,64,2.8,Acadia,0.8,0.3,0.4,0.7
Samantha Russell,7,Wing,6-0,22,679,30.9,22,96,22.9,107,297,36,80,109,73.4,37,153,190,8.6,48,46,59,17,21,316,14.4,Acadia,2.1,1,0.8,2.7
Sarah Delorey,13,Forward,6-2,5,132,26.4,0,1,0,14,28,50,7,10,70,18,15,33,6.6,13,3,12,6,3,35,7,Acadia,0.6,0.6,1.2,2.4
Sheleese Hoilett,11,Wing,5-10,18,167,9.3,2,10,20,15,31,48.4,6,11,54.5,16,18,34,1.9,25,6,14,2,3,38,2.1,Acadia,0.3,0.2,0.1,0.8
Taya Dixon,10,Guard,5-8,22,245,11.1,3,10,30,22,52,42.3,16,26,61.5,19,26,45,2,42,13,23,1,6,63,2.9,Acadia,0.6,0.3,0,1
* Team Totals,NA,NA,NA,21,4204,200.2,87,313,27.8,521,1360,38.3,314,459,68.4,219,568,787,37.5,326,253,339,52,147,1443,68.7,Cape%20Breton,12,7,2.5,16.1
Ajda Licina,11,Guard,5-7,20,323,16.1,2,14,14.3,19,62,30.6,7,9,77.8,11,47,58,2.9,13,25,15,1,20,47,2.4,Cape%20Breton,1.2,1,0,0.8
Alina Dohr,23,Forward,6-4,13,49,3.8,0,0,0,1,8,12.5,0,0,0,1,12,13,1,9,3,7,2,4,2,0.2,Cape%20Breton,0.2,0.3,0.2,0.5
Amanda Cruickshank,2,Guard,5-7,21,517,24.6,10,46,21.7,44,159,27.7,26,52,50,24,40,64,3,45,33,50,4,5,124,5.9,Cape%20Breton,1.6,0.2,0.2,2.4
